,Thresholds,S.E.,Est./S.E.,P-Value,Color,Shape
PC4,-0.511,0.013,-38.741,0,#2166ac,17
PC5,-0.404,0.014,-29.829,0,#2166ac,17
PC6,-0.453,0.013,-33.877,0,#2166ac,17
PC7,-0.483,0.014,-35.514,0,#2166ac,17
PC8,-0.625,0.013,-46.375,0,#2166ac,17
PC9,-0.568,0.014,-41.673,0,#2166ac,17
PC10,0.071,0.013,5.492,0,#2166ac,17
PC11,-0.552,0.013,-41.838,0,#2166ac,17
PC12,-0.152,0.013,-11.871,0,#2166ac,17
PC13,-0.691,0.014,-47.784,0,#2166ac,17
PC14,-0.255,0.013,-19.221,0,#2166ac,17
